平成２７年　４月　１日から平成２８年　３月２４日まで,,,,,,,,,,,
入札日,執行課名,事業担当課,工事番号,工事名,工事場所　,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,応札業者数,入札形式
20160323,伊都振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　地すべり　第８号－３,地すべり対策事業　吉原田原地区　B4上部ブロック押え盛土工事,橋本市吉原地内,有限会社一陽建設,9639000,8457795,8466012,13,一般競争入札
20160323,伊都振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　地すべり　第８号－４,地すべり対策事業吉原田原地区　水抜きボーリング（B5ブロック）工事,橋本市吉原地内,株式会社白浜試錐,20007000,17924818,17939880,11,一般競争入札
20160316,日高振興局地域振興部,森林・林業局 森林整備課,平成２７年度　国債　復旧　第１号,復旧治山事業,日高郡日高川町大字　寒川　字　朔日東原　地内,株式会社美山組,49998600,44074362,44217360,28,一般競争入札（総合評価）
20160316,日高振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　中山間防　第２号－１,北吉田地区六左ヱ門池堤体改修工事,御坊市藤田町吉田地内,タナカ技研株式会社,59287680,53163715,53293680,23,一般競争入札（総合評価）
20160315,那賀振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　中山間　第４号－３,ほ場整備（その１）工事,紀の川市下丹生谷、東野　地内,株式会社村嶋組,20064240,17615397,17688153,18,一般競争入札
20160203,海草振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　地すべり　第４号－２,中田地区　工事用道路付帯工事,海草郡紀美野町中田地内,有限会社ミナミ,1784160,1559025,1672920,5,一般競争入札
20160127,水産局 水産振興課,水産局 水産振興課,平成２７年度　水産環境　第１号－５,串本工区漁場測量委託業務,東牟婁郡串本町樫野埼沖合,西航空測量株式会社,2959200,2126011,2916000,2,一般競争入札
20160127,日高振興局地域振興部,森林・林業局 森林整備課,平成２７年度　県防　第１５号,県土防災対策治山事業,日高郡印南町大字川又字小潰　地内,有限会社カーサ基礎,3096360,2665275,2702160,2,一般競争入札
20160127,水産局 水産振興課,水産局 水産振興課,平成２７年度　栽培　第１号－１,南部栽培漁業センター稚魚水槽照明設備改修工事,東牟婁郡串本町串本地内,勝山電気工事株式会社,1490400,1381354,1404000,3,一般競争入札
20160126,伊都振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　地すべり　第８号－５５,地すべり対策事業　吉原田原地区　調査ボーリング業務,橋本市吉原地内,株式会社近畿コンサルタント,1836000,1331203,1341476,28,一般競争入札
20160120,西牟婁振興局地域振興部,森林・林業局 森林整備課,平成２７年度　県防　第３１号,県土防災対策治山事業,田辺市長野谷尾　地内,株式会社菅原工務店,1198800,1044264,1044360,4,一般競争入札
20160115,西牟婁振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　地すべり　第２号－５２,上野東地区地すべり観測孔設置業務,田辺市上野地内,株式会社白浜試錐,8596800,7187374,7199999,12,一般競争入札
20160115,西牟婁振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　調査管理　第７号－１,鳥の巣地区 施設整備工事,田辺市新庄町地内,株式会社菅原工務店,543240,474352,484380,2,一般競争入札
20160113,海草振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　ため池等　第３６号－１３,小原大池地区　ため池設計業務,海南市下津町小原地内,株式会社近代技研,5281200,3921373,3928824,5,一般競争入札
20160113,海草振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　ため池等　第３５号－１３,別院歩路池地区　ため池設計業務,海南市別院地内,浦技術士事務所,6382800,4673563,4748760,5,一般競争入札
20151222,那賀地域振興部,農林水産政策局 農業農村整備課,平成２６年度　中山間　第４号－３,農道整備（その１）工事,紀の川市下丹生谷地内,合資会社山田鉄工所,3498120,3042776,3148200,1,一般競争入札
20151215,伊都振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　調査管理　第１号－１,海岸保全・地すべり防止区域調査管理事業　丁ノ町地区2号排水路修繕工事,伊都郡かつらぎ町丁ノ町地内,有限会社九十九建設,901800,791640,791640,2,一般競争入札
20151215,伊都振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　小水力　第１号－５２,小田井頭首工地区　小水力発電設備概略設計業務,橋本市高野口町小田地内,日本工営株式会社和歌山営業所,3488400,2605519,3488400,1,一般競争入札
20151209,日高振興局地域振興部,森林・林業局 森林整備課,平成２７年度　県防　第２９号,県土防災対策治山事業,日高郡日高川町大字佐井字埜田地内,有限会社共栄産業,2247480,1957413,1958040,24,一般競争入札
20151208,那賀振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　ため池等　第３０号－５１,住持池地区土質調査業務,岩出市根来地内,株式会社ジオエンジニア,4892400,3995519,4069440,22,一般競争入札
20151203,日高振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　整促　第１号－５,川辺町周辺水源工区地区送水施設更新その５工事,日高郡日高川町和佐地内,有限会社丸高組,31612680,28464190,28546560,19,一般競争入札
20151130,海草振興局地域振興部,森林・林業局 森林整備課,平成２７年度　復旧　第１５号－２,復旧治山事業,海南市下津町引尾夏切　地内,桐浴建設,1878120,1644872,1821960,2,一般競争入札
20151125,日高振興局地域振興部,森林・林業局 森林整備課,平成２７年度　県防　第１３号,県土防災対策治山事業,日高郡日高川町大字　愛川　字　大谷　地内,株式会社美山組,6540480,5614688,5618160,41,一般競争入札
20151125,日高振興局地域振興部,森林・林業局 森林整備課,平成２７年度　県防　第３０号,県土防災対策治山事業,日高郡由良町大字　吹井　字　古田谷　地内,雅工業,2165400,1894882,1925640,6,一般競争入札
20151125,海草振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　ため池等　第３６号－１２,小原大池地区　土質調査その２業務,海南市下津町小原地内,株式会社ジオエンジニア,1242000,931397,939740,26,一般競争入札
20151125,海草振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　水合理　第６号－１２,新六箇井２期地区　保全計画策定その２業務,和歌山市楠見中地内,株式会社近代技研,3477600,2625441,3207600,4,一般競争入札
20151125,伊都振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　地すべり　第８号－２,地すべり対策事業吉原田原地区　水抜きボーリング（Ｂ１ブロック）工事,橋本市吉原地内,紀東工営株式会社,3677400,3185844,3195720,8,一般競争入札
20151125,海草振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　ため池等　第３５号－１２,別院歩路池地区　土質調査その２業務,海南市別院地内,株式会社白浜試錐,1242000,952933,956664,26,一般競争入札
20151124,西牟婁振興局地域振興部,森林・林業局 森林整備課,平成２７年度　県防　第２８号,県土防災対策治山事業,西牟婁郡すさみ町周参見ウスギ　地内,堀本興業,9508320,8365874,9288000,4,一般競争入札
20151124,西牟婁振興局地域振興部,森林・林業局 森林整備課,平成２７年度　県防　第２７号,県土防災対策治山事業,西牟婁郡上富田町市ノ瀬汗川　地内,松本組,19873080,17515812,17545680,27,一般競争入札
20151117,西牟婁振興局地域振興部,森林・林業局 森林整備課,平成２７年度　災害関連　第１号,災害関連緊急治山事業,西牟婁郡すさみ町太間川東ノ向イ　地内,株式会社田所建設,76515840,69249303,69257160,9,一般競争入札（総合評価）
20151117,伊都振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　小水力　第１号－５１,小田井頭首工地区土質調査業務,橋本市高野口町小田地内,有限会社清水測量,1306800,1001820,1003752,26,一般競争入札
20151117,伊都振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　地すべり　第８号－５４,地すべり対策事業　吉原田原地区　承兼道路用地測量業務,橋本市吉原地内,和歌山航測株式会社,3834000,2941059,3672000,31,一般競争入札
20151117,海草振興局地域振興部,森林・林業局 森林整備課,平成２７年度　復旧　第１５号－１,復旧治山事業設計業務,海南市下津町引尾夏切　地内,株式会社近畿コンサルタント,1333800,995013,997920,10,一般競争入札
20151116,西牟婁振興局地域振興部,森林・林業局 森林整備課,平成２７年度　水源再生　第１号－４,水源森林再生対策事業調査業務,田辺市龍神村殿原外　地内,応用地質株式会社和歌山営業所,10199520,7509440,7596720,2,一般競争入札
20151111,東牟婁地域振興部,農業農村整備課,平成２６年度　防ダム　第１号－８,小匠ダム管理棟撤去工事,東牟婁郡那智勝浦町小匠地内,有限会社フルカワ,1950480,1688573,1717200,3,一般競争入札
20151111,東牟婁地域振興部,農林水産政策局 農業農村整備課,平成２６年度　防ダム　第１号－７,小匠ダム付替道路法面その２工事,東牟婁郡那智勝浦町小匠地内,岡山組,12631680,10923409,10959840,37,一般競争入札
20151104,有田振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　ため池等　第４０号－５２,楠谷池地区ため池設計業務,有田郡有田川町西ケ峯地内,株式会社南紀航測センター,2646000,1892289,1936440,9,一般競争入札
20151104,有田振興局地域振興部,農林水産政策局 農業農村整備課,平成２７年度　ため池等　第４０号－５１,楠谷池地区土質調査業務,有田郡有田川町西ケ峯地内,株式会社武田基礎調査,1447200,1157277,1157760,20,一般競争入札
