平成２１年４月１日から平成２２年３月３１日までの分,,,,,,,,,,,,,
開札日,執行課名,事業担当課名,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,指名業者数,入札形式,
20100325,西牟婁地域振興部,農業農村整備課,日向地区ほ場園内整備その２工事　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,上芳養　　　　　　　,地内　　　　　　　　,栄光産業（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 21,273,000 "," 18,306,813 "," 18,332,086 ", 15 ,条件付一般競争入札,
20100325,西牟婁地域振興部,森林整備課,山地災害総合減災対策治山事業(減災対策第3号-2)　　　　　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　白浜町　　,大　　　　　　　　　,猪ノ谷山地内　　　　,（株）中村組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 21,430,500 "," 18,179,018 "," 20,307,000 ", 5 ,条件付一般競争入札,
20100323,那賀地域振興部,農業農村整備課,水栖大池周辺家屋事後調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　,岩出市　　　　　　　,水栖、西国分、南大池,地内　　　　　　　　,（株）中央クリエイト和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 4,420,500 "," 3,094,350 "," 3,108,000 ", 27 ,条件付一般競争入札,
20100323,有田地域振興部,農業農村整備課,畦田２期地区１号排水路工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,瀬井　　　　　　　　,地内　　　　　　　　,（株）六川建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 6,804,000 "," 5,791,174 "," 5,819,310 ", 10 ,条件付一般競争入札,
20100319,日高地域振興部,森林整備課,水源流域地域保全事業(水地第2号-4)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,大字　田尻　　　　　,字　本谷　地内　　　,西谷建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 7,531,650 "," 6,257,951 "," 6,279,000 ", 14 ,条件付一般競争入札,
20100318,海草地域振興部,農業農村整備課,中田地区解析設計業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,中田　　　　　　　　,地内　　　　　　　　,（株）五星和歌山事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 16,905,000 "," 11,975,502 "," 11,999,169 ", 19 ,条件付一般競争入札,
20100318,海草地域振興部,農業農村整備課,慶権寺池洪水吐改修その２工事　　　　　　　　　　　　　　　　　　　　　　　　　　,海南市　　　　　　　,鳥居　　　　　　　　,地内　　　　　　　　,上中建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 25,378,500 "," 21,879,165 "," 22,071,000 ", 5 ,条件付一般競争入札,
20100317,水産振興課,水産振興課,南部栽培漁業センター建築工事設計業務　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　串本町　　,串本　　　　　　　　,地内　　　　　　　　,金嶋一級建築設計事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 11,246,550 "," 8,273,314 "," 8,274,000 ", 5 ,条件付一般競争入札,
20100317,水産振興課,水産振興課,南部栽培漁業センター建築工事地質調査業務　　　　　　　　　　　　　　　　　　　　,東牟婁郡　串本町　　,串本　　　　　　　　,地内　　　　　　　　,（株）河田有紀地質基礎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,175,600 "," 1,543,815 "," 1,545,763 ", 13 ,条件付一般競争入札,
20100309,有田地域振興部,農業農村整備課,田角４期地区付帯工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,田角　　　　　　　　,地内　　　　　　　　,（株）保田組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 630,000 "," 547,735 "," 598,500 ", 6 ,条件付一般競争入札,
