入札日,執行部署名,事業担当課名,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,指名業者数,入札形式
2007.03.28,海草産業振興部,農地整備課,安原地区広原水路改修工事　その２,和歌山市,吉原,外地内,（株）原庄組,"9,849,000","7,426,860","7,426,860",22,指名競争入札
2007.03.26,東牟婁産業振興部,森林整備課,治山事業測量設計業務委託,東牟婁郡　古座川町,宇筒井,字　奥山　地内,三松測量設計事務所,"2,442,300",0,"2,310,000",14,指名競争入札
2007.03.23,日高産業振興部,森林整備課,復旧治山事業,日高郡　印南町,古屋,池ノ谷地内,（有）丸高組,"30,000,600","21,416,850","28,434,000",21,指名競争入札
2007.03.22,西牟婁産業振興部,森林整備課,林地荒廃防止施設災害復旧事業,西牟婁郡　上富田町,岩田,上殿地内,（株）清本組,"94,317,300","62,878,200","89,565,000",22,条件付一般競争入札
2007.03.20,那賀産業振興部,農地整備課,安楽川地区１号排水路兼用道路１工区工事,紀の川市,竹房、桃山町元,地内,（株）畑中産業,"33,127,500","25,138,050","29,809,500",20,指名競争入札
2007.03.20,伊都産業振興部,森林整備課,復旧治山事業,伊都郡　かつらぎ町,平,中平　地内,窪田組,"46,401,600","33,832,050","43,995,000",20,指名競争入札
2007.03.19,西牟婁産業振興部,農地整備課,県営中山間総合整備事業　日向地区進入道路その1 工事,田辺市,上芳養,地内,（株）尾花組,"49,612,500","37,816,800","47,250,000",20,指名競争入札
2007.03.16,那賀産業振興部,農地整備課,ため池土質調査業務委託,紀の川市,枇杷谷、東三谷,地内外,拓伸建設（株）,"913,500",0,"873,600",11,指名競争入札
2007.03.14,西牟婁産業振興部,森林整備課,水源流域広域保全事業測量設計業務委託,田辺市,龍神村丹生ノ川,大谷地内,（有）龍和興業,"1,551,900",0,"1,417,500",20,指名競争入札
2007.03.07,那賀産業振興部,農地整備課,安楽川地区幹線１号農道１１工区道路工事,紀の川市,竹房、桃山町元,地内,船木建設,"21,462,000","16,206,750","20,160,000",19,指名競争入札
2007.03.07,那賀産業振興部,農地整備課,安楽川地区１号排水路兼用道路２工区工事,紀の川市,竹房,地内,（株）前川組,"27,594,000","20,822,550","25,882,500",19,指名競争入札
2007.02.28,那賀産業振興部,農地整備課,安楽川地区市場・調月幹線農道その５道路工事,紀の川市,桃山町最上,地内外,（株）日浦組,"28,896,000","21,892,500","27,247,500",19,指名競争入札
2007.02.22,農地整備課,農地整備課,二次診断（安定解析）その３業務委託,和歌山県全域,,地内,キタイ設計（株）和歌山事務所,"2,163,000",0,"1,260,000",18,指名競争入札
2007.02.21,有田産業振興部,農村計画課,宮代地区海岸保全区域台帳整備業務,有田郡　広川町,唐尾,地内,和歌山エンジニヤリング（株）,"1,291,500",0,"1,155,000",10,指名競争入札
2007.02.21,有田産業振興部,農地整備課,田角２期地区　付帯工事,有田郡　有田川町,田角,地内,マトバ商店,"504,000",0,"472,500",19,指名競争入札
2007.02.14,日高産業振興部,農地整備課,油河池ボーリング調査業務委託,日高郡　日高町,原谷,地内,（株）有紀地質基礎,"1,722,000",0,"724,500",11,指名競争入札
2007.02.02,西牟婁産業振興部,農地整備課,県営畑地帯総合整備事業　下中三栖地区　下中三栖排水路等整備工事,田辺市,下三栖,中三栖地内,栄光産業（株）,"39,123,000","30,030,000","34,755,000",20,指名競争入札
2007.01.31,農地整備課,農地整備課,二次診断（安定解析）その２業務委託,和歌山県全域,,,キタイ設計（株）和歌山事務所,"3,906,000",0,"2,047,500",18,指名競争入札
2007.01.31,農地整備課,農地整備課,平成１８年度建設資材価格実態調査業務,和歌山県,,全域,（財）経済調査会関西支部,"1,596,000",0,"1,459,500",2,指名競争入札
2007.01.24,那賀産業振興部,農地整備課,安楽川地区幹線１号農道９－２工区道路工事,紀の川市,竹房,地内,（株）西日本環境管路サービス,"10,626,000","7,967,400","10,080,000",20,指名競争入札
2007.01.24,那賀産業振興部,農地整備課,安楽川地区市場・調月幹線農道その２舗装工事,紀の川市,桃山町市場,地内,（株）角野組,"2,226,000",0,"2,100,000",11,指名競争入札
2007.01.24,那賀産業振興部,農地整備課,水栖大池改修( その１) 工事,岩出市,水栖,地内,（株）谷川組,"33,757,500","24,775,800","32,025,000",20,指名競争入札
2007.01.19,西牟婁産業振興部,農地整備課,海岸保全施設整備その４工事,田辺市,新庄,地内,（株）明生工業,"57,697,500","44,402,400","44,402,400",12,条件付一般競争入札
2007.01.17,日高産業振興部,農村計画課,基幹水利施設補修事業　南紀用水地区　基本計画作成業務,日高郡　みなべ町,東神野川,東本庄　地内,日技クラウン（株）京都支店,"1,995,000",0,"1,575,000",17,指名競争入札
