平成２２年４月１日から平成２３年３月３１日までの分,,,,,,,,,,,,
開札日,執行課名,事業担当課名,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名, 予定価格 , 最低制限価格若しくは調査基準価格 , 落札価格 , 指名業者数 ,入札形式
20110325,東牟婁地域振興部,森林整備課,予防治山事業(予防第12号-3)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　古座川町　,鶴川　　　　　　　　,字宮ノ下外地内　　　,（株）関本工務店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 18,385,500 "," 15,415,092 "," 15,458,100 ", 7 ,条件付一般競争入札
20110325,東牟婁地域振興部,森林整備課,復旧治山事業(復旧第9号-5)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町鎌塚　　　　,字岩ノ谷第１地内　　,（株）雅建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 29,586,900 "," 24,945,401 "," 24,966,900 ", 16 ,条件付一般競争入札
20110325,東牟婁地域振興部,森林整備課,復旧治山事業(復旧第9号-6)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町鎌塚　　　　,字岩ノ谷第２地内　　,（有）新英　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 29,841,000 "," 25,373,376 "," 25,448,850 ", 12 ,条件付一般競争入札
20110325,東牟婁地域振興部,森林整備課,予防治山事業(予防第10号-3)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　古座川町　,高池　　　　　　　　,字江崎地内　　　　　,（有）松本建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 15,496,950 "," 13,038,345 "," 13,324,500 ", 3 ,条件付一般競争入札
20110325,東牟婁地域振興部,森林整備課,地すべり防止事業(地すべり第2号-3)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町日足　　　　,字萬歳地内　　　　　,（株）世紀工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 28,922,250 "," 24,439,836 "," 24,541,650 ", 7 ,条件付一般競争入札
20110324,西牟婁地域振興部,森林整備課,復旧治山事業測量業務(復旧第7号-3)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,本宮町野竹　　　　　,定夕地内　　　　　　,（株）果無　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 200,550 "," 142,267 "," 178,500 ", 5 ,条件付一般競争入札
20110323,東牟婁地域振興部,森林整備課,予防治山事業(予防第13号-3)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　串本町　　,和深　　　　　　　　,字観音平地内　　　　,（有）竹本組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 38,860,500 "," 33,584,974 "," 38,850,000 ", 3 ,条件付一般競争入札（総合評価）
20110322,有田地域振興部,農業農村整備課,畦田２期地区２号集水井工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,瀬井　　　　　　　　,地内　　　　　　　　,（株）河田有紀地質基礎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 17,482,500 "," 15,032,455 "," 15,063,300 ", 11 ,条件付一般競争入札
20110318,伊都地域振興部,農業農村整備課,恋野地区　似賀尾池管理用道路１工区法面保護工事　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,恋野　　　　　　　　,地内　　　　　　　　,（株）畑中産業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 10,269,000 "," 8,737,498 "," 8,770,125 ", 22 ,条件付一般競争入札
20110318,伊都地域振興部,農業農村整備課,吉原田原地区　地すべり調査その２業務　　　　　　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,吉原・高野口町田原　,地内　　　　　　　　,中央復建コンサルタンツ（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 25,231,500 "," 21,222,025 "," 21,256,200 ", 19 ,条件付一般競争入札
20110318,東牟婁地域振興部,森林整備課,地すべり防止事業(地すべり第1号-4)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町宮井　　　　,字奥谷第２地内　　　,（株）伊藤組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 41,118,000 "," 36,093,695 "," 36,277,500 ", 4 ,条件付一般競争入札（総合評価）
20110317,海草地域振興部,森林整備課,予防治山事業(予防第3号-2)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,円明寺　　　　　　　,字　居垣内　地内　　,（株）農地開発　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 29,758,050 "," 25,241,932 "," 25,248,720 ", 14 ,条件付一般競争入札
20110317,西牟婁地域振興部,森林整備課,復旧治山事業(復旧第11号)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,稲成町細尾芝　　　　,地内　　　　　　　　,（株）共栄建設工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 68,000,100 "," 60,326,046 "," 60,506,250 ", 9 ,条件付一般競争入札（総合評価）
20110317,西牟婁地域振興部,森林整備課,地域防災対策総合治山事業(地防第1号-12)　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,上秋津下畑　　　　　,地内　　　　　　　　,（株）豊建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 32,219,250 "," 27,594,720 "," 27,676,950 ", 6 ,条件付一般競争入札（総合評価）
