入札日,執行課名,事業担当課名,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,指名業者数,入札形式
20060328,東牟婁農林水産振興部,森林整備課,予防治山事業,東牟婁郡　那智勝浦町,大字天満,字後呂地地内,色川建設,"18,874,800","13,144,530","18,480,000",13,指名競争入札
20060322,那賀農林水産振興部,農地整備課,安楽川地区幹線排水路下流部１－１工区工事,紀の川市,桃山町市場,地内,（株）宮村土木,"71,190,000","54,681,900","67,620,000",15,指名競争入札
20060322,那賀農林水産振興部,農地整備課,安楽川地区市場・調月幹線農道その４道路工事,紀の川市,桃山町最上,地内,（株）日浦組,"16,306,500","12,278,700","15,435,000",19,指名競争入札
20060224,水産振興課,水産振興課,栽培漁業センター玄関ポーチ天井改修工事,東牟婁郡　那智勝浦町,勝浦,地内,木下建設（株）,"1,126,650",0,"1,071,000",13,指名競争入札
20060222,那賀農林水産振興部,農地整備課,新池改修迂回路設置工事,紀の川市,貴志川町長原,地内,（株）山東組,"2,289,000",0,"2,173,500",9,指名競争入札
20060217,東牟婁農林水産振興部,森林整備課,県土防災対策治山事業,東牟婁郡　古座川町,高瀬,字上地地内,（有）下地組,"1,274,700",0,"1,274,700",11,指名競争入札
20060208,那賀農林水産振興部,農地整備課,安楽川地区　市場・調月幹線農道舗装工事,紀の川市,桃山町最上,地内,司建設工業（株）,"7,528,500","5,629,050","7,119,000",9,指名競争入札
20060124,那賀農林水産振興部,農地整備課,安楽川地区幹線１号及び２号農道取付け道路工事,紀の川市,竹房,地内,船木建設,"10,815,000","8,113,350","10,342,500",15,指名競争入札
20060112,東牟婁農林水産振興部,森林整備課,県土防災対策治山事業,新宮市,熊野川町畝畑,字倉谷地内,峯園建設,"2,117,850",0,"2,010,750",16,指名競争入札
20060112,東牟婁農林水産振興部,森林整備課,県土防災対策治山事業,新宮市,高田,字高野地内,（有）梓企画,"925,050",0,"903,000",9,指名競争入札
20051226,日高農林水産振興部,農地整備課,稲原西ほ場整備舗装・水路工事,日高郡　印南町,南谷,及び　明神川　地内,（株）竹平建設,"22,953,000","17,350,200","22,470,000",20,指名競争入札
20051226,日高農林水産振興部,農地整備課,上野２工区支線配水管布設工事,御坊市,名田町　上野,地内,（株）日邦建設,"8,536,500","6,301,050","8,358,000",17,指名競争入札
20051226,有田農林水産振興部,農地整備課,田角２期地区　３号承水路その２工事,有田郡　吉備町,田角,地内,（有）浦﨑組,"1,764,000",0,"1,690,500",16,指名競争入札
20051226,有田農林水産振興部,農村計画課,宮代地区　堤防補修工事,有田郡　広川町,唐尾,地内,（株）田中鉄工所,"735,000",0,"714,000",18,指名競争入札
20051226,日高農林水産振興部,農地整備課,日高川地区　幹線水路改修その５工事,日高郡　日高川町,若野,地内,（有）大幸,"21,777,000","16,782,150","21,346,500",19,指名競争入札
20051226,有田農林水産振興部,農地整備課,有田川地区　船坂第４水槽付帯工事,有田郡　吉備町,船坂,地内,山水保安（株）,"2,404,500",0,"2,299,500",16,指名競争入札
20051222,伊都農林水産振興部,農地整備課,畑地帯総合整備事業河根地区　耕作道1 号・3 号農道舗装工事,伊都郡　九度山町,河根,,（株）窪田建設,"6,111,000","4,555,950","6,016,500",6,指名競争入札
20051222,伊都農林水産振興部,農地整備課,地すべり対策事業西渋田第１地区４号承水路（その４）及び附帯工事,伊都郡　かつらぎ町,西渋田,地内,岩本組,"4,032,000","3,004,050","3,937,500",14,指名競争入札
20051220,有田農林水産振興部,森林整備課,予防治山事業,有田郡　清水町,東大谷,地内,島崎組,"11,067,000","7,497,000","10,710,000",14,指名競争入札
20051214,那賀農林水産振興部,森林整備課,植物公園緑花センター施設整備,那賀郡　岩出町,東坂本,地内,（株）藤井建設,"18,984,000","13,322,400","18,217,500",18,指名競争入札
20051209,西牟婁農林水産振興部,農地整備課,県営ほ場整備事業　中・栄・才野地区　ほ場整備舗装その１工事,西牟婁郡　白浜町,,中地内,（株）北道工務店,"3,780,000","2,922,150","3,675,000",9,指名競争入札
20051130,那賀農林水産振興部,農地整備課,安楽川地区市場・調月幹線農道その３道路工事,紀の川市,桃山町最上,地内,柏木土木,"9,912,000","7,428,750","9,450,000",15,指名競争入札
20051130,那賀農林水産振興部,農地整備課,安楽川地区幹線１号農道９工区道路工事,紀の川市,桃山町元,地内外,（株）村嶋組,"18,732,000","14,129,850","17,944,500",18,指名競争入札
20051125,西牟婁農林水産振興部,森林整備課,水源流域広域保全事業,田辺市,龍神村丹生ノ川,大谷地内,橋本組,"13,317,150","10,006,500","12,904,500",16,指名競争入札
20051125,西牟婁農林水産振興部,森林整備課,県土防災対策治山事業,田辺市,本宮町皆地,大森地内,鈴木組,"2,300,550",0,"2,220,750",15,指名競争入札
20051125,西牟婁農林水産振興部,森林整備課,県土防災対策治山事業,田辺市,本宮町三越,椎木橋地内,山本組,"10,775,100","7,295,400","10,447,500",16,指名競争入札
20051116,日高農林水産振興部,農地整備課,上野工区幹線農道舗装その２工事,御坊市,名田町　上野,地内,ワシン建設（株）,"8,316,000","6,218,100","8,190,000",9,指名競争入札
20051107,西牟婁農林水産振興部,森林整備課,復旧治山事業,田辺市,中辺路町道湯川,熊瀬川地内,林建設,"16,402,050","11,351,550","15,855,000",16,指名競争入札
20051107,西牟婁農林水産振興部,森林整備課,県土防災対策治山事業,田辺市,本宮町大居,竹森通地内,和泉建設,"2,397,150",0,"2,310,000",15,指名競争入札
20051107,西牟婁農林水産振興部,森林整備課,県土防災対策治山事業,田辺市,龍神村龍神,五百原地内,川口建設（株）,"7,427,700","5,023,200","7,234,500",16,指名競争入札
20051104,有田農林水産振興部,農地整備課,有田川地区　金屋第１水槽保全対策工事,有田郡　金屋町,丹生,地内,平和産業（株）,"5,785,500","4,155,900","5,628,000",12,指名競争入札
20051104,有田農林水産振興部,農地整備課,有田川地区　金屋第３水槽保全対策工事,有田郡　金屋町,市場,地内,三洋建設（株）,"7,885,500","5,695,200","7,717,500",12,指名競争入札
20051025,東牟婁農林水産振興部,森林整備課,県土防災対策治山事業,東牟婁郡　那智勝浦町,大字下和田,字於捨山地内,太田建設,"361,200",0,"351,750",11,指名競争入札
20051025,東牟婁農林水産振興部,森林整備課,県土防災対策治山事業,東牟婁郡　串本町,西向,字上ヶ地地内,浅利建設,"1,305,150",0,"1,240,050",9,指名競争入札
20051025,東牟婁農林水産振興部,森林整備課,県土防災対策治山事業,新宮市　熊野川町,嶋津,字湯ノ口向井地内,峯園建設,"807,450",0,"766,500",16,指名競争入札
20051019,日高農林水産振興部,農地整備課,日高川横断管設置工事,御坊市野口,～日高郡日高川町,若野地内,森本組・古部組特定建設工事共同企業体,"589,942,500","456,071,000","559,650,000",11,受注希望公募型競争入札
20051019,日高農林水産振興部,農地整備課,上野２工区　区画整理工事,御坊市,名田町　上野,地内,（株）小林建設,"299,838,000","231,133,350","283,500,000",10,条件付一般競争入札
20051012,日高農林水産振興部,農地整備課,稲原西　ほ場整備付帯・舗装工事,日高郡　印南町,南谷,地内,上野工業所,"9,933,000","7,441,350","7,441,350",12,指名競争入札
