 平成２２年４月１日から平成２３年３月３１日までの分 ,,,,,,,,,,,,
 入札日 , 執行課名 , 事業担当課名 ,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名,予定価格, 最低制限価格若しくは調査基準価格 , 落札価格 ,応札業者数,入札形式
20110329,海草建設部,道路建設課,松島本渡線（神前南）道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,神前　　　　　　　　,地内　　　　　　　　,坂田建設（有）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 8,034,600 "," 6,774,566 "," 6,775,650 ",11,一般競争入札
20110329,海草建設部,道路保全課,和歌山海南線外道路排水ポンプ電気設備点検維持修繕工事　　　　　　　　　　　　　　,和歌山市　　　　　　,中島外　　　　　　　,地内　　　　　　　　,（株）土井電設工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 9,976,050 "," 7,651,173 "," 8,279,250 ",3,一般競争入札
20110329,海草建設部,河川課,和歌川（和田川）広域河川改修検討業務　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,坂田外　　　　　　　,地内　　　　　　　　,（株）ニュージェック和歌山事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 10,636,500 "," 8,800,982 "," 8,914,500 ",16,一般競争入札
20110329,海草建設部,河川課,和歌川（和田川）広域河川改修測量業務　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,布引外　　　　　　　,地内　　　　　　　　,（株）ジオエンジニア　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,103,000 "," 3,723,636 "," 3,777,270 ",28,一般競争入札
20110328,海草建設部,道路建設課,国道３７０号道路改築調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　,海南市　　　　　　　,阪井　　　　　　　　,地内　　　　　　　　,（株）公共補償設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,344,000 "," 1,028,725 "," 1,049,895 ",12,一般競争入札
20110328,海草建設部,道路建設課,奥佐々阪井線道路改良設計業務　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,動木　　　　　　　　,外地内　　　　　　　,八千代エンジニヤリング（株）大阪支店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 19,561,500 "," 15,179,380 "," 15,183,000 ",44,一般競争入札
20110325,伊都建設部,河川課,吉原川　総合流域防災工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,神野々　　　　　　　,地内　　　　　　　　,（株）仲山建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 17,548,650 "," 14,951,718 "," 15,108,324 ",12,一般競争入札
20110325,伊都建設部,砂防課,吉原川　砂防修繕外合併工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,神野々　　　　　　　,地内　　　　　　　　,（株）ダイケン　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 10,101,000 "," 8,528,322 "," 8,534,190 ",14,一般競争入札
20110325,東牟婁串本建設部,道路建設課,上富田すさみ線道路改良調査業務　　　　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　すさみ町　,江住　　　　　　　　,地内　　　　　　　　,（有）平井設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,950,500 "," 2,305,102 "," 2,307,291 ",30,一般競争入札
20110325,東牟婁串本建設部,道路保全課,すさみ古座線社会資本整備交付金道路保全測量設計業務　　　　　　　　　　　　　　　,東牟婁郡　古座川町　,添野川　　　　　　　,地内　　　　　　　　,和田測量事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,184,000 "," 1,600,326 "," 2,058,000 ",6,一般競争入札
20110325,東牟婁新宮建設部,道路保全課,国道１６８号道路維持修繕工事　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,五新～高田　　　　　,地内　　　　　　　　,（株）松原組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 9,425,850 "," 7,819,402 "," 7,820,400 ",27,一般競争入札
20110324,西牟婁建設部,道路建設課,国道４２５号道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村柳瀬～福井　　,地内　　　　　　　　,（株）共栄建設工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,535,600 "," 4,664,079 "," 4,675,650 ",12,一般競争入札
20110324,西牟婁建設部,道路建設課,上富田南部線地方特定道路整備調査業務　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,下万呂～秋津町　　　,地内　　　　　　　　,清水不動産鑑定士事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,197,000 "," 951,098 "," 951,300 ",12,一般競争入札
20110324,西牟婁建設部,河川課,左会津川広域河川改修調査設計業務　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,古尾　　　　　　　　,地内　　　　　　　　,（株）オオバ和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 21,000,000 "," 16,287,070 "," 16,317,000 ",18,一般競争入札
20110323,海草建設部,道路建設課,高野口野上線地方特定道路整備工事　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,円明寺　　　　　　　,外地内　　　　　　　,山路ライン（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,013,500 "," 2,498,345 "," 2,709,000 ",7,一般競争入札
20110323,海草建設部,道路建設課,小豆島船所線道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,直川外　　　　　　　,地内　　　　　　　　,（株）板橋製作所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 74,769,450 "," 64,265,611 "," 64,995,000 ",2,一般競争入札（総合評価）
20110322,那賀建設部,砂防課,最上地区地すべり対策工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,桃山町最上　　　　　,地内　　　　　　　　,柏木組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 16,019,850 "," 14,076,991 "," 14,091,000 ",15,一般競争入札
20110322,有田建設部,道路保全課,国道４８０号（菖蒲橋・第一大月橋）社会資本整備交付金道路保全工事　　　　　　　　,有田郡　有田川町　　,楠本　　　　　　　　,外地内　　　　　　　,（株）畑中産業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 7,403,550 "," 6,212,808 "," 6,219,150 ",8,一般競争入札
