入札日,執行課名,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,指名業者数,入札形式
20060330,海草建設部,鳴神木広線道路排水ポンプ機械電気設備点検業務,和歌山市,太田,地内,大揚興業（株）,"2,299,500",0,"2,173,500",15,指名競争入札
,海草建設部,善明寺北島線道路排水ポンプ機械電気設備点検業務,和歌山市,粟,地内,近畿電設工業（株）,"1,860,600",0,"1,764,000",16,指名競争入札
,海草建設部,和歌山海南線道路排水ポンプ機械電気設備点検業務,和歌山市,中島外,地内,（株）土井電設工業,"1,993,950",0,"1,918,350",15,指名競争入札
,海草建設部,和歌山停車場線道路維持修繕業務,和歌山市,友田町外,地内,（株）日本美研,"907,200",0,"387,450",14,指名競争入札
,海草建設部,新和歌浦梅原線外道路照明等維持管理業務（単価契約業務）,海草振興局建設部管内,,,近畿電設工業（株）,"4,993,800",0,"4,788,000",16,指名競争入札
,海草建設部,新和歌浦梅原線外街路樹管理業務,和歌山市,舟津町3 丁目外,地内,（株）森上土木,"5,428,500",0,"2,310,000",16,指名競争入札
,海草建設部,和歌山海南線外街路樹管理業務,和歌山市,中島１丁目外,地内,児島造園,"8,368,500",0,"3,654,000",17,指名競争入札
,海草建設部,和歌川ポンプ場外施設管理外合併業務,和歌山市,塩屋外,地内,大揚興業（株）,"55,090,350",0,"53,392,500",16,指名競争入札
,海草建設部,和歌川河川公園植栽管理業務,和歌山市,塩屋外,地内,（有）光華園,"6,296,850",0,"3,286,500",16,指名競争入札
,海草建設部,大新公園植栽管理委託業務,和歌山市,坊主丁,地内,（株）森上土木,"592,200",0,"273,000",16,指名競争入札
,海草建設部,鳴神木広線外街路樹管理業務,和歌山市,秋月外,地内,紀北造園土木（株）,"11,863,950",0,"11,025,000",16,指名競争入札
,海草建設部,和歌山停車場線街路樹管理業務,和歌山市,友田町５丁目外,地内,松田造園,"12,366,900",0,"11,739,000",15,指名競争入札
20060324,有田建設部,吉備金屋線道路改良測量調査設計業務,有田郡　有田川町,垣倉,地内,（株）阪神コンサルタンツ和歌山営業所,"13,167,000",0,"12,390,000",15,指名競争入札
,有田建設部,県営農免農道整備事業　有田西部５期地区　農免農道舗装工事,有田市,山地,地内,（株）角野組,"9,796,500","7,508,550","9,303,000",8,指名競争入札
20060323,伊都建設部,国道３７１号　道路改築工事,橋本市,東家,外地内,（株）森本組,"7,268,100","5,673,150","7,087,500",13,指名競争入札
,日高建設部,由良港海岸港湾海岸補修工事,日高郡　由良町,神谷,地内,（株）住軽日軽エンジニアリング大阪支店,"9,398,550","7,369,950","8,715,000",13,指名競争入札
,日高建設部,由良港海岸港湾海岸補修工事,日高郡　日高町,柏,地内,日工マシナリー（株）和歌山営業所,"11,699,100","9,242,100","11,025,000",13,指名競争入札
,日高建設部,土生川通常砂防工事,日高郡　日高川町,土生,地内,（株）丸島アクアシステム和歌山営業所,"28,224,000","23,990,400","26,145,000",13,指名競争入札
,日高建設部,石の谷川通常砂防工事,日高郡　日高川町,三佐,地内,（株）芝崎組,"9,875,250","7,321,650","9,555,000",14,指名競争入札
,東牟婁新宮建設部,新宮港港湾改良工事,新宮市,三輪崎,地内,下地建設,"16,368,450","13,252,050","16,044,000",12,指名競争入札
,東牟婁新宮建設部,新宮港港湾改良工事,新宮市,三輪崎,地内,平野組,"16,368,450","13,252,050","16,086,000",13,指名競争入札
,東牟婁新宮建設部,傅の谷川通常砂防工事,東牟婁郡　那智勝浦町,浦神東,地内,畑山工務店,"14,169,750","10,807,650","13,923,000",14,指名競争入札
20060322,西牟婁建設部,田辺漁港海岸環境整備工事,田辺市,扇ケ浜,地先,（株）テンコーライフ,"30,283,050","24,101,700","29,610,000",9,指名競争入札
,西牟婁建設部,田辺漁港環境整備工事,田辺市,扇ケ浜,地内,（株）テンコーライフ,"43,411,200","34,024,200","42,315,000",15,指名競争入札
20060320,東牟婁串本建設部,すさみ海岸　海岸局部改良　工事,西牟婁郡　すさみ町,口和深,地先,（株）田所建設,"16,543,800","12,596,850","15,960,000",7,指名競争入札
,東牟婁串本建設部,古座海岸　海岸局部改良　工事,東牟婁郡　串本町,西向,地先,（株）小森組,"33,455,100","25,648,350","25,648,350",7,指名競争入札
20060317,伊都建設部,紀の川左岸地区　かつらぎ６号橋　上部製作架設工事,伊都郡　かつらぎ町,三谷,地内,（株）豊工業所,"294,252,000","228,998,700","217,350,000",15,指名競争入札
,有田建設部,大和杉谷川通常砂防工事,有田郡　有田川町,粟生,地内,（株）辻本組,"20,928,600","16,187,850","20,265,000",14,指名競争入札
20060316,海草建設部,水位テレメータ監視装置改造業務,和歌山市,築港,地内,パナソニックＳＳエンジニアリング（株）関西ＰＳＳＥ社,"8,130,150",0,"7,717,500",6,指名競争入札
,那賀建設部,紀の川中流流域下水道（那賀処理区）那賀浄化センター管理棟建築電気設備工事,那賀郡　岩出町,中島,地内,（株）赤路電気水道,"39,106,200","31,745,700","37,600,500",15,指名競争入札
,那賀建設部,根来川河川修繕工事,那賀郡　岩出町,荊本,地内,（有）西部建設,"333,900",0,"313,950",16,指名競争入札
,伊都建設部,国道４８０号　道路改築工事,伊都郡　かつらぎ町,志賀,地内,（株）見好建設,"99,458,100","76,999,650","76,999,650",15,指名競争入札
,伊都建設部,国道４８０号　道路改築工事,伊都郡　かつらぎ町,志賀,地内,（株）天野組,"99,478,050","78,061,200","97,650,000",13,指名競争入札
,日高建設部,由良港海岸港湾海岸補修工事,日高郡　日高町,柏,地内,（株）明生工業,"2,740,500","2,025,450","2,025,450",9,指名競争入札
,日高建設部,東岩代地区地すべり対策工事,日高郡　みなべ町,東岩代,地内,（有）井口土木,"17,401,650","12,086,550","17,010,000",17,指名競争入札
,日高建設部,東岩代地区地すべり対策測量調査業務,日高郡　みなべ町,東岩代,地内,（株）アイエステ―,"4,557,000",0,"2,814,000",15,指名競争入札
,日高建設部,江川河川修繕工事,日高郡　日高川町,江川,地内,新田組,"2,247,000",0,"2,184,000",13,指名競争入札
,日高建設部,古井水位観測局改良工事,日高郡　印南町,古井,地内,日本無線（株）関西支社,"10,633,350","9,038,347","10,080,000",8,指名競争入札
,日高建設部,東裏川（外）河川修繕工事,御坊市,湯川町　富安（外）,地内,（有）川中組,"5,885,250","5,002,462","5,002,462",15,指名競争入札
,日高建設部,日高川広域基幹河川改修工事,日高郡　日高川町,若野,地内,（株）柏木建設,"83,717,550","71,159,917","65,940,000",17,指名競争入札
,日高建設部,日高川広域基幹河川改修工事,日高郡　日高川町,若野,地内,（株）西川組,"57,634,500","48,989,325","56,910,000",17,指名競争入札
,日高建設部,日高港港湾環境整備工事,御坊市,塩屋町　南塩屋,地内,大杉建設（株）,"7,470,750","5,918,850","7,350,000",13,指名競争入札
,日高建設部,日高港港湾環境整備工事,御坊市,塩屋町　南塩屋,地内,狩谷建材,"6,537,300","5,178,600","6,405,000",12,指名競争入札
,日高建設部,国道４２４号（大谷橋・加露渡橋）橋りよう指定修繕（外）合併調査設計業務,日高郡　日高川町,初湯川,地内,日本建設コンサルタント（株）大阪支社,"10,384,500",0,"9,450,000",15,指名競争入札
,日高建設部,国道４２４号（浪瀬橋・谷口橋）橋りよう指定修繕（外）合併調査設計業務,日高郡　日高川町,初湯川,地内,（株）橋梁コンサルタント大阪支社,"9,240,000",0,"8,505,000",15,指名競争入札
,日高建設部,国道４２４号（初湯川大橋）橋りよう補修調査設計業務,日高郡　日高川町,初湯川,地内,セントラルコンサルタント（株）大阪支社,"17,902,500",0,"16,800,000",15,指名競争入札
