 平成２１年４月１日から平成２２年３月３１日までの分 ,,,,,,,,,,,,,,,,
 入札日 , 執行課名 , 事業担当課名 ,工事名, 工事場所１市区町村 , 工事場所１地名１ , 工事場所１地名２ ,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,応札業者数,入札形式,,,,
20100330,海草建設部,道路保全課,和歌山海南線外道路排水ポンプ電気設備点検維持修繕工事　　　　　　　　　　　　　　,和歌山市　　　　　　,中島外　　　　　　　,地内　　　　　　　　,大揚興業（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 9,228,450 "," 6,974,468 "," 7,875,000 ",3,条件付一般競争入札,,,,
20100330,那賀建設部,道路建設課,西川原粉河線地方特定道路整備発注者支援業務　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,粉河　　　　　　　　,地内　　　　　　　　,（株）シーエスエス和歌山事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,775,000 "," 4,054,627 "," 5,024,250 ",9,条件付一般競争入札,,,,
20100330,那賀建設部,道路保全課,高野口野上線道路災害防除発注者支援業務　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,桃山町中畑　　　　　,外地内　　　　　　　,和建技術（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,775,000 "," 4,240,582 "," 5,218,500 ",8,条件付一般競争入札,,,,
20100330,那賀建設部,河川課,山田川河川修繕工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,岩出市　　　　　　　,川尻　　　　　　　　,地内　　　　　　　　,（株）山東組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,825,150 "," 3,201,576 "," 3,202,500 ",18,条件付一般競争入札,,,,
20100330,伊都建設部,河川課,穴伏川河川修繕工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,移　　　　　　　　　,地内　　　　　　　　,（株）ケイ・エー・エヌ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,321,150 "," 2,798,659 "," 2,828,700 ",8,条件付一般競争入札,,,,
20100330,伊都建設部,河川課,芋谷川　砂防災害復旧工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,慶賀野　　　　　　　,地内　　　　　　　　,住友建材　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,144,500 "," 944,357 "," 971,250 ",6,条件付一般競争入札,,,,
20100330,伊都建設部,河川課,落合川河川修繕工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,隅田町　平野　　　　,地内　　　　　　　　,（株）ダイケン　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,901,150 "," 2,425,090 "," 2,446,500 ",7,条件付一般競争入札,,,,
20100329,公共建築課,公共建築課,県立総合体育館（仮称）新築工事監理業務　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,手平　　　　　　　　,地内　　　　　　　　,和歌山県建築設計監理（同）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 27,279,000 "," 19,859,112 "," 20,244,000 ",2,条件付一般競争入札,,,,
20100329,海草建設部,道路建設課,日方大野中藤白線道路改良調査業務　　　　　　　　　　　　　　　　　　　　　　　　,海南市　　　　　　　,日方　　　　　　　　,外地内　　　　　　　,（株）山本総合補償コンサルタント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,331,000 "," 1,701,863 "," 1,701,863 ",14,条件付一般競争入札,,,,
20100329,海草建設部,道路建設課,日方大野中藤白線道路改良調査業務　　　　　　　　　　　　　　　　　　　　　　　　,海南市　　　　　　　,日方　　　　　　　　,外地内　　　　　　　,（株）公共補償設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,680,000 "," 1,176,000 "," 1,185,408 ",13,条件付一般競争入札,,,,
