平成24年度4月1日から平成24年度3月31日までの分,,,,,,,,,,,
入札日,執行課名,事業担当課,工事番号,工事名,工事場所　,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,応札業者数,入札形式
20130327,有田建設部,道路建設課,平成２４年度　地特　第２４号－２,井関御坊線地方特定道路整備調査業務,有田郡広川町上津木地内,株式会社岡本設計,609000,480793,484050,22,一般競争入札
20130327,有田建設部,道路保全課,平成２５年度　長命　第４号,海南金屋線橋梁長命化対策発注者支援業務,有田郡有田川町黒松外地内,和建技術株式会社,11917500,9462401,10710000,8,一般競争入札
20130327,有田建設部,道路建設課,平成２４年度　道改交金　第１２５－１号－３,海南金屋線道路改良工事,有田郡有田川町市場地内,平澤組,25780650,22380482,22402800,35,一般競争入札
20130327,海草建設部,道路保全課,平成２４年度　交安交金　第３０３－５号－１１,岩出海南線交付金交通安全工事,海南市岡田地内,有限会社助野建設,2580900,2155608,2478000,4,一般競争入札
20130327,有田建設部,道路建設課,平成２５年度　地特　第２５号,吉備金屋線地方特定道路整備発注者支援業務,有田郡有田川町明王寺外地内,株式会社中山綜合コンサルタント,11917500,9674066,10500000,8,一般競争入札
20130327,有田建設部,道路保全課,平成２５年度　道維修　第４号－１２,国道４８０号外道路維持修繕図面修正業務,有田郡有田川町金屋外地内,星尾設計事務所,997500,738739,867300,9,一般競争入札
20130327,有田建設部,道路保全課,平成２５年度　県災防　第４号－２,美里龍神線道路災害防除工事,有田郡有田川町宮川地内,三谷組,9790200,8297566,8400000,35,一般競争入札
20130327,西牟婁建設部,河川課,平成２４年度　２３年災　第２４０号－４,富田川河川災害復旧工事,田辺市中辺路町真砂地内,株式会社清本組,182605500,160269125,160335000,21,一般競争入札（総合評価）
20130327,有田建設部,河川課,平成２４年度　防交金　第９１２号－２,有田川河川整備発注者支援業務,有田郡有田川町上中島外地先,株式会社石井コンサルタント,11917500,9582665,11559975,8,一般競争入札
20130327,有田建設部,河川課,平成２４年度　防交金　第９１２号,有田川河川整備発注者支援業務,有田郡有田川町上中島外地先,株式会社シーエスエス,11917500,9380621,9868950,8,一般競争入札
20130326,西牟婁建設部,砂防課,平成２４年度　砂防　第１１３号－５,芦立地区外砂防測量業務,田辺市中辺路町内井川外地内,国際航業株式会社和歌山営業所,7581000,5634024,5936700,5,一般競争入札
20130326,西牟婁建設部,砂防課,平成２４年度　砂防　第１１３号－６,芦立地区砂防調査業務,田辺市中辺路町内井川地内,株式会社データ技研,15939000,13109805,13154830,28,一般競争入札
20130326,西牟婁建設部,砂防課,平成２４年度　砂防　第１１３号－７,芦立地区砂防調査設計業務,田辺市中辺路町内井川地内,日本工営株式会社和歌山営業所,16023000,12682954,12711300,22,一般競争入札
20130326,海草建設部,道路建設課,平成２４年度　地特　第１９号－４,引尾下津線地方特定道路整備合併発注者支援業務,海南市下津町市坪外地内,株式会社データ技研,11340000,9211204,10920000,8,一般競争入札
20130326,那賀建設部,道路建設課,平成２４年度　地特　第１０号－３,岩出野上線外地方特定道路整備発注者支援業務,岩出市船戸外地内,株式会社センダイ工部コンサルタント,11907000,9838027,11865000,8,一般競争入札
20130326,那賀建設部,道路建設課,平成２４年度　地特　第１０号－２,岩出野上線地方特定道路整備工事,岩出市船戸地内,大志組,7914900,6827307,6879600,3,一般競争入札
20130326,海草建設部,道路建設課,平成２４年度　地特　第２１号－４,岩出野上線地方特定道路整備合併発注者支援業務,海草郡紀美野町動木外地内,株式会社石井コンサルタント,11340000,8956988,9429000,8,一般競争入札
20130326,伊都建設部,道路建設課,平成２４年度　広域　第１号－６,紀の川左岸地区　寺尾道路（その５）工事,伊都郡かつらぎ町寺尾外地内,株式会社田中組,99621900,89609051,89775000,23,一般競争入札（総合評価）
20130326,伊都建設部,道路建設課,平成２４年度　広域　第１号－１０,紀の川左岸地区　西畑道路舗装工事,橋本市西畑地内,株式会社城野組,14948850,13208779,13209000,24,一般競争入札
20130326,伊都建設部,道路建設課,平成２４年度　広域　第１号－１１,紀の川左岸地区　平沼田道路（その６）工事,伊都郡かつらぎ町平沼田外地内,株式会社木村組,36044400,31404514,31818150,14,一般競争入札（総合評価）
20130326,那賀建設部,下水道課,平成２４年度　流下　第２号－１３,紀の川中流流域下水道　桃山幹線管渠地質調査業務,紀の川市桃山町調月外地内,有限会社岡本土木技術,12799500,11060529,12159000,2,一般競争入札
20130326,那賀建設部,道路建設課,平成２４年度　広域　第２号－２０,紀の里地区（仮称横谷トンネル）修正設計業務,紀の川市横谷地内,株式会社東京建設コンサルタント和歌山営業所,5260500,3964672,4105500,2,一般競争入札
20130326,海草建設部,都市政策課,平成２４年度　県単国公整　第３号－６,紀三井寺公園外公園整備発注者支援業務,和歌山市毛見外地内,株式会社データ技研,6951000,5492897,6720000,7,一般競争入札
20130326,伊都建設部,道路建設課,平成２５年度　地特　第１号,橋本五條線　地方特定道路整備発注者支援業務,橋本市恋野外地内,和歌山航測株式会社,11917500,9827042,11287500,9,一般競争入札
20130326,西牟婁建設部,河川課,平成２４年度　２３年災　第９２１号－２,熊野川河川災害復旧工事,田辺市本宮町土河屋地内,山本組,8205750,7074396,7150500,3,一般競争入札
20130326,西牟婁建設部,河川課,平成２４年度　広域河川　第５０５－１号－３,熊野川河川整備工事,田辺市本宮町大居地内,株式会社仲建設,99711150,87413187,88147500,4,一般競争入札（総合評価）
20130326,西牟婁建設部,砂防課,平成２４年度　砂防　第１１２号－６,高原地区砂防調査設計業務,田辺市中辺路町高原地内,国土防災技術株式会社和歌山営業所,9009000,6995142,7027650,24,一般競争入札
20130326,東牟婁新宮建設部,道路保全課,平成２４年度　点検　第９０９－９号,高田相賀線外（高田トンネル外）道路附属物等点検業務,新宮市高田外地内,菅根測量株式会社,4536000,3614485,3628800,6,一般競争入札
20130326,西牟婁建設部,砂防課,平成２４年度　急傾斜　第２２号－３,国戸地区急傾斜地崩壊対策工事,田辺市龍神村湯ノ又地内,川口建設株式会社,32249700,28452863,28501200,9,一般競争入札（総合評価）
20130326,東牟婁串本建設部,道路保全課,平成２５年度　長命　第７号,国道371号外橋りょう長命化対策発注者支援業務,東牟婁郡古座川町平井外地内,和歌山航測株式会社,11413500,9420744,11025000,3,一般競争入札
20130326,東牟婁串本建設部,道路保全課,平成２５年度　県災防　第７号,国道371号外道路災害防除発注者支援業務,東牟婁郡古座川町蔵土外地内,和歌山航測株式会社,11413500,9056635,11025000,3,一般競争入札
20130326,東牟婁新宮建設部,道路保全課,平成２４年度　点検　第９０８－９号,国道１６８号（新越路トンネル外）道路附属物等点検業務,新宮市南檜杖外地内,菅根測量株式会社,5397000,4276590,4317600,6,一般競争入札
20130326,東牟婁新宮建設部,道路保全課,平成２４年度　点検　第９０８－９号－２,国道１６９号（四滝トンネル外）道路附属物等点検業務,新宮市熊野川町四滝外地内,株式会社阪和測量設計,4798500,3654735,3670590,6,一般競争入札
20130326,東牟婁新宮建設部,道路建設課,平成２４年度　道改交金　第４号－６,国道１６９号道路改良工事,新宮市熊野川町玉置口地内,有限会社小阪組,18574500,16241935,16317000,4,一般競争入札
20130326,東牟婁新宮建設部,道路建設課,平成２４年度　道改交金　第４号－８,国道１６９号道路改良工事,新宮市熊野川町玉置口地内,有限会社小阪組,17017350,14786822,14797650,21,一般競争入札
20130326,東牟婁新宮建設部,道路建設課,平成２４年度　道改交金　第４－１号－３,国道１６９号道路改良調査業務,東牟婁郡北山村下尾井外地内,和歌山航測株式会社,2593500,2020217,2021599,20,一般競争入札
20130326,西牟婁建設部,道路保全課,平成２４年度　道保交金　第６０２－３８号,国道３１１号（大日山トンネル外）交付金道路保全設計業務,田辺市本宮町耳打外地内,株式会社エイト日本技術開発和歌山支店,11224500,8489446,8694000,6,一般競争入札
20130326,伊都建設部,道路保全課,平成２４年度　国補国交　第１０５－２５号,国道３７０号外　交通安全施設等整備外合併工事,橋本市清水外地内,重谷組,6079500,5244829,5248950,24,一般競争入札
20130326,伊都建設部,道路保全課,平成２５年度　道維修　第３号－７,国道３７０号外　道路管理工事,伊都郡九度山町下古沢外地内,株式会社福孝組,16844100,14245101,14503603,4,一般競争入札
20130326,海草建設部,道路建設課,平成２４年度　道改交金　第９号－１０,国道３７０号道路改良調査業務,海南市阪井地内,有限会社平井設計,9282000,7075621,7077525,27,一般競争入札
20130326,伊都建設部,道路建設課,平成２５年度　小道改　第４号,国道３７１号　小規模道路改良発注者支援業務,橋本市小原田外地内,株式会社データ技研,11917500,9715437,11550000,7,一般競争入札
20130326,伊都建設部,道路建設課,平成２５年度　小道改　第４号－２,国道３７１号　小規模道路改良発注者支援業務,橋本市橋谷外地内,ワコウコンサルタント株式会社,11917500,9510506,11235000,7,一般競争入札
20130326,西牟婁建設部,道路保全課,平成２４年度　道保交金　第６０３－３８号,国道３７１号（温泉トンネル外）交付金道路保全設計業務,田辺市龍神村龍神外地内,国際航業株式会社和歌山営業所,12453000,9675697,9691500,6,一般競争入札
20130326,伊都建設部,道路保全課,平成２５年度　県災防　第３号,国道３７１号（高野龍神スカイライン）　道路災害防除発注者支援業務,伊都郡高野町高野山外地内,株式会社石井コンサルタント,11917500,9511468,11559975,7,一般競争入札
