入札日,執行課名,事業担当課名,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,指名業者数,入札形式
20070329,海草建設部,道路保全課,和歌山停車場線道路維持修繕業務　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,友田町外　　　　　　,地内　　　　　　　　,（株）来光　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,918750,0,310800,14,指名競争入札
20070329,海草建設部,道路保全課,鳴神木広線道路維持修繕（ポンプ設備点検）業務　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,太田　　　　　　　　,地内　　　　　　　　,植野電気（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,2328900,0,2152500,20,指名競争入札
20070329,海草建設部,道路保全課,和歌山海南線道路維持修繕（ポンプ設備点検）業務　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,中島外　　　　　　　,地内　　　　　　　　,（株）土井電設工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,2023350,0,1884750,20,指名競争入札
20070329,海草建設部,道路保全課,善明寺北島線道路維持修繕（ポンプ設備点検）業務　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,粟　　　　　　　　　,地内　　　　　　　　,協栄電気（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1890000,0,1764000,20,指名競争入札
20070329,海草建設部,道路保全課,新和歌浦梅原線外道路照明等維持管理業務（単価契約業務）　　　　　　　　　　　　　,和歌山市　　　　　　,久保丁４丁目外　　　,地内　　　　　　　　,近畿電設工業（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,4982250,0,4567500,20,指名競争入札
20070329,海草建設部,河川課,和歌川河川公園植栽管理業務　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,塩屋外　　　　　　　,地内　　　　　　　　,石井工務店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,6203400,0,3339000,19,指名競争入札
20070329,海草建設部,河川課,市堀川緑地管理業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,卜半町外　　　　　　,地内　　　　　　　　,春秋園　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1366050,0,718200,19,指名競争入札
20070328,海草建設部,道路建設課,国道３７０号道路改築工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,野中　　　　　　　　,地内　　　　　　　　,（株）丸山組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,42394800,32718000,32718000,20,指名競争入札
20070328,海草建設部,道路建設課,国道３７０号道路改築工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,神野市場　　　　　　,地内　　　　　　　　,（株）前谷組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,49801500,38420550,38420550,20,指名競争入札
20070328,海草建設部,道路建設課,国道３７０号道路改築工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,毛原中　　　　　　　,地内　　　　　　　　,（株）農地開発　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,39571350,30017400,30017400,20,指名競争入札
