平成２６年度４月１日から平成２６年度３月３１日までの分,,,,,,,,,,,
入札日,執行課名,事業担当課,工事番号,工事名,工事場所　,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,応札業者数,入札形式
20150331,伊都建設部,道路局　道路建設課,平成２６年度　広域　第１号－５４,紀の川左岸地区　教良寺道路設計（その２）業務,伊都郡かつらぎ町教良寺地内,株式会社三匠,1609200,1222959,1224936,17,一般競争入札
20150331,伊都建設部,道路局　道路建設課,平成２６年度　広域　第１号－５０,紀の川左岸地区　兄井工区地質調査（その２）業務,伊都郡かつらぎ町兄井地内,アジア航測株式会社和歌山営業所,2440800,1983900,2440800,10,一般競争入札
20150331,伊都建設部,道路局　道路建設課,平成２６年度　広域　第１号－２９,紀の川左岸地区　西渋田道路舗装（その１）工事,伊都郡かつらぎ町西渋田地内,山口建設株式会社,10938240,9989015,9997560,37,一般競争入札
20150331,伊都建設部,道路局　道路建設課,平成２６年度　広域　第１号－４８,紀の川左岸地区　西畑工区地質調査（その２）業務,橋本市西畑地内,川崎地質株式会社和歌山事務所,5529600,4493787,4496040,13,一般競争入札
20150331,伊都建設部,道路局　道路建設課,平成２６年度　広域　第１号－４９,紀の川左岸地区　西畑工区地質調査（その３）業務,橋本市西畑地内,国際航業株式会社和歌山営業所,3844800,3113925,3132000,11,一般競争入札
20150331,伊都建設部,道路局　道路建設課,平成２６年度　広域　第１号－５１,紀の川左岸地区　道路設計（その６）業務,伊都郡かつらぎ町西渋田地内,株式会社センダイ工部コンサルタント,2818800,2229285,2270160,12,一般競争入札
20150331,伊都建設部,道路局　道路建設課,平成２６年度　広域　第１号－５２,紀の川左岸地区　道路設計（その７）業務,伊都郡九度山町九度山地内,株式会社データ技研,2991600,2424394,2442895,12,一般競争入札
20150331,伊都建設部,道路局　道路建設課,平成２６年度　広域　第１号－５５,紀の川左岸地区　発注者支援業務,伊都郡九度山町九度山外地内,株式会社データ技研,12765600,10373431,12506400,4,一般競争入札
20150331,海草建設部,道路局　道路建設課,平成２７年度　道改交金　第７号,国道３７０号道路改良工事,海南市阪井地内,株式会社丸山組,79966440,72414800,73060920,14,一般競争入札（総合評価）
20150331,海草建設部,道路局　道路建設課,平成２６年度　道改交金　第１０号－１５,国道３７０号道路改良調査業務,海草郡紀美野町大角外地内,株式会社技研和歌山営業所,2959200,2299403,2300184,16,一般競争入札
20150331,日高建設部,道路局　道路建設課,平成２７年度　道改交金　第２１号,国道４２４号　道路改良（外）合併　調査設計業務,日高郡みなべ町清川地内,株式会社阪和建設コンサルタント,2343600,1843175,1844748,4,一般競争入札
20150331,那賀建設部,河川・下水道局　河川課,平成２７年度　河修　第３号－４,住吉川河川修繕工事,岩出市中島外地内,株式会社河井組,5701320,5273274,5311440,9,一般競争入札
20150331,那賀建設部,道路局　道路建設課,平成２７年度　半振　第２号,上鞆渕那賀線半島振興道路整備調査業務,紀の川市赤沼田地内,株式会社世紀工業,853200,690685,697680,6,一般競争入札
20150331,日高建設部,河川・下水道局　河川課,平成２６年度　２６年災　第１０８号,切目川　河川災害復旧（外）合併　工事,日高郡印南町美里地内,有限会社なかつ,25551720,22604808,22898160,5,一般競争入札
20150331,東牟婁新宮建設部,河川・下水道局　河川課,平成２６年度　防交金　第４０４号－１１,太田川河川整備工事（平成２３年台風１２号災害復旧）,東牟婁郡那智勝浦町下和田地内,株式会社海邊組,96088680,88091665,88182000,20,一般競争入札（総合評価）
20150331,伊都建設部,道路局　道路建設課,平成２７年度　地特　第５号－２,那賀かつらぎ線　地方特定道路整備工事,伊都郡かつらぎ町笠田中地内,住友建材,11589480,10426213,10430532,10,一般競争入札
20150331,日高建設部,河川・下水道局　河川課,平成２６年度　２３年災助成　第１－１号－１４,日高川　災害復旧助成　工事,日高郡日高川町松瀬地内,株式会社西川組,39495600,36229333,36266400,23,一般競争入札（総合評価）
20150331,日高建設部,河川・下水道局　河川課,平成２６年度　２３年災　第１－１号－１３,日高川　災害復旧助成　工事,日高郡日高川町早藤地内,株式会社清水,34463880,31239446,31244400,23,一般競争入札（総合評価）
20150331,西牟婁建設部,道路局　道路建設課,平成２７年度　道改交金　第１３５号,白浜温泉線道路改良工事,西牟婁郡白浜町富田?栄地内,淺川道路株式会社,49262040,44872935,45219600,10,一般競争入札（総合評価）
20150331,伊都建設部,河川・下水道局　河川課,平成２６年度　２６年災　第４６号－２,有田川　河川災害復旧工事,伊都郡かつらぎ町花園新子地内,株式会社城野組,90105480,83188072,83376000,22,一般競争入札（総合評価）
20150331,伊都建設部,河川・下水道局　河川課,平成２６年度　２６年災　第３９号,有田川　河川災害復旧工事,伊都郡かつらぎ町花園北寺地内,奈和建設株式会社,86434560,79384386,80024760,19,一般競争入札（総合評価）
20150331,那賀建設部,道路局　道路建設課,平成２６年度　道改交金　第１０８号－８,和歌山橋本線道路改良合併工事,紀の川市遠方地内,株式会社共栄産業,16966800,15228140,15231240,39,一般競争入札
20150330,西牟婁建設部,河川・下水道局　砂防課,平成２６年度　砂防　第１１０号,九鬼地区砂防調査解析業務,田辺市本宮町大居地内,株式会社アスコ和歌山支店,2991600,2296458,2309040,10,一般競争入札
20150330,西牟婁建設部,河川・下水道局　河川課,平成２７年度　河修　第７号,熊野川河川修繕工事,田辺市本宮町高山地内,横手組,6272640,5640446,5650992,6,一般競争入札
20150330,東牟婁新宮建設部,河川・下水道局　河川課,平成２６年度　防交金　第２０８号－５,熊野川河川整備発注者支援業務,新宮市熊野川町日足地内,有限会社熊野路測量設計,12981600,10508616,12906000,4,一般競争入札
20150330,西牟婁建設部,道路局　道路保全課,平成２７年度　道維修　第６号－１４,国道１６８号道路維持修繕工事,田辺市本宮町大居外地内,双葉組,8827920,7914528,7928755,7,一般競争入札
20150330,東牟婁新宮建設部,道路局　道路建設課,平成２７年度　県災防　第８号,国道１６９号外道路災害防除外合併発注者支援業務,新宮市熊野川町宮井外地内,株式会社データ技研,12981600,10730799,12960000,4,一般競争入札
20150330,西牟婁建設部,道路局　道路保全課,平成２７年度　県災防　第６号－３,国道３１１号道路災害防除調査設計業務,田辺市中辺路町栗栖川?真砂地内,株式会社エイト日本技術開発和歌山支店,7776000,6516474,6517800,9,一般競争入札
20150330,東牟婁新宮建設部,河川・下水道局　河川課,平成２６年度　災発支　第２号,太田川外災害発注者支援業務,東牟婁郡那智勝浦町下和田外地内,有限会社熊野路測量設計,12981600,10198399,12906000,4,一般競争入札
20150330,東牟婁新宮建設部,河川・下水道局　河川課,平成２６年度　２３年災助成　第２号－２３,太田川災害復旧助成工事,東牟婁郡那智勝浦町下里地内,株式会社コトブキ,32331960,28996525,29063880,13,一般競争入札
20150330,東牟婁新宮建設部,河川・下水道局　砂防課,平成２６年度　砂防　第２５号,天女谷川砂防発注者支援業務,東牟婁郡那智勝浦町市野々地内,和歌山航測株式会社,12981600,10361892,12960000,4,一般競争入札
20150330,西牟婁建設部,道路局　道路保全課,平成２７年度　交安交金　第９０４－５号,田辺龍神線外交付金交通安全工事,田辺市秋津町外地内,川口建設株式会社,12408120,11037550,11046240,30,一般競争入札
20150330,東牟婁新宮建設部,河川・下水道局　河川課,平成２６年度　２３年災助成　第３号－１８,那智川災害復旧助成工事,東牟婁郡那智勝浦町川関地内,井筒建設株式会社,5433480,4823048,4856760,5,一般競争入札
20150330,西牟婁建設部,道路局　道路保全課,平成２７年度　交安交金　第９０４－５号－２,南紀白浜空港線外交付金交通安全工事,西牟婁郡白浜町堅田外地内,向江組,17889120,15788900,15814116,30,一般競争入札
20150330,西牟婁建設部,港湾空港局　港湾漁港整備課,平成２６年度　港海整　第５－２号,日置港海岸海岸整備（港湾）工事,西牟婁郡白浜町日置地先,株式会社豊建設,26601480,24433436,26601480,1,一般競争入札
20150330,西牟婁建設部,河川・下水道局　河川課,平成２６年度　防交金　第２０７－３０号,日置川河川整備工事,西牟婁郡白浜町田野井地内,株式会社丸清商事,9535320,8676315,8683200,13,一般競争入札
20150330,西牟婁建設部,河川・下水道局　砂防課,平成２６年度　砂防　第１１１号－２,本宮地区砂防調査解析業務,田辺市本宮町本宮地内,株式会社阪神コンサルタンツ和歌山営業所,6793200,5455090,5470200,12,一般競争入札
20150330,西牟婁建設部,河川・下水道局　砂防課,平成２６年度　特緊砂　第１号－２,門谷特定緊急砂防調査業務,田辺市中辺路町真砂地内,有限会社熊野路測量設計,3348000,2785363,2788560,16,一般競争入札
20150327,西牟婁建設部,河川・下水道局　砂防課,平成２７年度　砂修　第７号,上の谷川砂防修繕工事,田辺市本宮町上切原地内,池田建設,2980800,2650209,2651400,13,一般競争入札
20150327,西牟婁建設部,港湾空港局　港湾漁港整備課,平成２７年度　海修　第３号,田辺漁港海岸海岸修繕工事,田辺市扇ケ浜地先,山本建材,2096280,1891298,1891609,12,一般競争入札
20150325,有田建設部,砂防課,平成２６年度　調急　第４－３０号－５,下津木地区基礎調査（急傾斜）業務,有田郡広川町下津木地内,株式会社南紀航測センター,13230000,10248240,12560400,10,一般競争入札
