入札日,執行課名,事業担当課名,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,応札業者数等,入札形式
20090331,海草建設部,道路建設課,西脇山口線（六十谷）道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,六十谷　　　　　　　,地内　　　　　　　　,（株）藤平組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,49259700,40025903,40320000,7,条件付一般競争入札（総合評価）
20090330,海草建設部,道路保全課,和歌山野上線地方道路交付金工事　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,太田　　　　　　　　,地内　　　　　　　　,智代美建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,16538550,13372758,13428450,8,条件付一般競争入札
20090330,海草建設部,道路保全課,粉河加太線外道路維持修繕工事（単価契約）　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,北野外　　　　　　　,地内　　　　　　　　,（有）ユートピア建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,7942200,6246517,6401850,6,条件付一般競争入札
20090330,海草建設部,道路保全課,和歌山停車場線外交通安全施設等整備工事（単価契約）　　　　　　　　　　　　　　　,和歌山市　　　　　　,三木町外　　　　　　,地内　　　　　　　　,オーノ保安工業（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,5075700,3949050,4515000,9,条件付一般競争入札
20090330,海草建設部,道路保全課,新和歌浦梅原線外道路照明修繕工事（単価契約）　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,西浜外　　　　　　　,地内　　　　　　　　,近畿電設工業（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,5056800,3902394,3959550,9,条件付一般競争入札
20090330,海草建設部,道路保全課,新和歌浦梅原線外道路維持修繕工事（単価契約）　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,西浜外　　　　　　　,地内　　　　　　　　,（株）和歌山拓殖　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,7359450,5767612,5869500,8,条件付一般競争入札
20090330,海草建設部,道路保全課,粉河加太線外道路維持修繕工事（単価契約）　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,松江外　　　　　　　,地内　　　　　　　　,（株）和歌山拓殖　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,7524300,5886652,5974500,6,条件付一般競争入札
20090330,海草建設部,道路保全課,粉河加太線外道路維持修繕工事（単価契約）　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,六十谷外　　　　　　,地内　　　　　　　　,原実業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,5142900,4336493,4344900,7,条件付一般競争入札
20090330,海草建設部,道路保全課,和歌山海南線外道路排水ポンプ電気等設備点検維持修繕工事　　　　　　　　　　　　　,和歌山市　　　　　　,中島外　　　　　　　,地内　　　　　　　　,大揚興業（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,9098250,6107958,7824600,4,条件付一般競争入札
20090330,海草建設部,道路保全課,国道３７０号外道路維持修繕工事（単価契約）　　　　　　　　　　　　　　　　　　　,海南市　　　　　　　,　　　　　　　　　　,管内一円（旧海南市）,小川工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,5034750,3941055,4872000,2,条件付一般競争入札
