平成２３年４月１日から平成２４年３月３１日までの分,,,,,,,,,,,
入札日,執行課名,事業担当課,工事番号,工事名,工事場所　,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,応札業者数,入札形式
20120328,東牟婁新宮建設部,河川課,平成２３年度　２３年災　第６８４号,井鹿川河川災害復旧工事,東牟婁郡那智勝浦町井鹿地内,曽越建設,2527350,2150253,2199750,3,一般競争入札
20120328,東牟婁新宮建設部,河川課,平成２３年度　２３年災　第７０１号,国道１６８号道路災害復旧工事,新宮市相賀地内,株式会社海邊組,51947700,46276728,46408950,2,一般競争入札（総合評価）
20120328,東牟婁新宮建設部,河川課,平成２３年度　県災　第８号－２,国道１６８号道路災害復旧工事,新宮市相賀外地内,井筒建設株式会社,3990000,3363223,3385200,6,一般競争入札
20120327,海草建設部,道路建設課,平成２３年度　小道改　第３５４号－６,引尾下津線小規模道路改良発注者支援業務,海南市下津町市坪外地内,株式会社データ技研,12169500,9766883,10087350,10,一般競争入札
20120327,海草建設部,都市政策課,平成２３年度　県単国公整　第３号－３,紀三井寺公園外公園整備発注者支援業務,和歌山市毛見外地内,株式会社データ技研,12169500,9937835,9969540,9,一般競争入札
20120327,海草建設部,河川課,平成２３年度　河地交金　第３０５号－７,亀の川河川整備発注者支援業務,和歌山市布引外地内,ワコウコンサルタント株式会社,6079500,4898572,5060338,10,一般競争入札
20120327,東牟婁串本建設部,砂防課,平成２３年度　急傾斜　第３４号－３,串本地区急傾斜地崩壊対策工事,東牟婁郡串本町串本地内,株式会社小森組,70652400,62551129,64540980,3,一般競争入札（総合評価）
20120327,東牟婁串本建設部,河川課,平成２３年度　２３年災　第３８４号,栗垣内川河川災害復旧工事,西牟婁郡すさみ町佐本追川地内,有限会社泰間組,20251350,17390206,20160000,2,一般競争入札
20120327,有田建設部,道路建設課,平成２３年度　道改交金　第１２２－１号,広川川辺線道路改良工事,有田郡広川町下津木地内,広川建設,4801650,4109912,4121250,17,一般競争入札
20120327,西牟婁建設部,河川課,平成２３年度　県災　第６号－３２,国道３１１号（仮称滝尻１号橋・２号橋）道路災害復旧調査業務,田辺市中辺路町栗栖川?真砂地内,株式会社シーエスエス,4483500,3675974,3688677,20,一般競争入札
20120327,海草建設部,道路建設課,平成２３年度　道改交金　第７号－１１,国道３７０号道路改良調査業務,海南市阪井地内,株式会社山本総合補償コンサルタント,1606500,1204547,1204875,13,一般競争入札
20120327,海草建設部,道路建設課,平成２３年度　道改交金　第９号－８,国道３７０号道路改良調査業務,海草郡紀美野町下佐々地内,和歌山航測株式会社,3097500,2428192,2431710,22,一般競争入札
20120327,海草建設部,道路保全課,平成２３年度　交安交金　第３０２－４号－２,国道４２４号交付金交通安全調査業務,海南市野上中地内,株式会社信栄補償設計,3685500,2889292,2889600,22,一般競争入札
20120327,有田建設部,道路建設課,平成２３年度　道改交金　第２０号－９,国道４２４号道路改良工事,有田郡有田川町西ケ峯地内,株式会社中屋組,69069000,61239789,61444950,12,一般競争入札（総合評価）
20120327,有田建設部,道路建設課,平成２３年度　道改交金　第３５－１号,国道４８０号道路改良測量業務,有田郡有田川町長谷川地内,株式会社近畿コンサルタント,2320500,1689753,1995000,7,一般競争入札
20120327,西牟婁建設部,河川課,平成２３年度　河地交金　第２１７－２号－２,左会津川河川整備工事,田辺市紺屋町地内,株式会社目良組,20179950,17551832,19950000,2,一般競争入札
20120327,海草建設部,河川課,平成２３年度　堤改　第３０４号－４,七瀬川堤防改修工事,和歌山市西田井地内,株式会社城南建設,20587350,17776251,17960250,9,一般競争入札
20120327,東牟婁串本建設部,河川課,平成２３年度　２３年災　第３９７号,周参見川河川災害復旧工事,西牟婁郡すさみ町周参見地内,有限会社南建設,16483950,14393272,16432500,3,一般競争入札
20120327,東牟婁串本建設部,河川課,平成２３年度　高速　第３０１号－２,周参見川高速道路関連河川改修工事,西牟婁郡すさみ町周参見地内,株式会社田所建設,55629000,49875727,49891800,3,一般競争入札（総合評価）
20120327,海草建設部,道路建設課,平成２３年度　地特　第１４号－８,秋月海南線地方特定道路整備工事,和歌山市坂田地内,木下建設株式会社,61282200,53591939,53833500,22,一般競争入札（総合評価）
20120327,海草建設部,道路建設課,平成２３年度　地特　第１４号－１４,秋月海南線地方特定道路整備設計業務,和歌山市坂田外地内,ワコウコンサルタント株式会社,724500,554083,558941,10,一般競争入札
20120327,海草建設部,道路建設課,平成２３年度　地特　第１４号－１３,秋月海南線地方特定道路整備発注者支援業務,和歌山市和田外地内,株式会社シーエスエス,12169500,9652915,10102050,10,一般競争入札
20120327,東牟婁新宮建設部,港湾整備課,平成２３年度　港整　第７号－２,新宮港港湾施設整備（環境）工事,新宮市三輪崎地内,株式会社和歌山ナセリー,11204550,9685469,9692550,31,一般競争入札
20120327,西牟婁建設部,道路建設課,平成２３年度　小道改　第６０６号－３,静川請川線小規模道路改良工事,田辺市本宮町上大野地内,株式会社小原工務店,31547250,27485351,29970150,4,一般競争入札（総合評価）
20120327,西牟婁建設部,砂防課,平成２３年度　急傾斜　第３２号－４,川湯地区急傾斜地崩壊対策工事,田辺市本宮町川湯地内,株式会社深瀬組,36490650,31389025,32235000,2,一般競争入札（総合評価）
20120327,東牟婁串本建設部,港湾整備課,平成２３年度　港整　第８－２３号－２,袋港外港湾施設整備（長寿命化）調査設計業務,東牟婁郡串本町串本外地先,株式会社修成建設コンサルタント和歌山事務所,6016500,4518900,4659900,4,一般競争入札
20120327,西牟婁建設部,河川課,平成２３年度　２３年災　第１１４７号,滝谷川砂防設備災害復旧工事,田辺市上秋津地内,有限会社畔田園,14635950,12833088,14488950,2,一般競争入札
20120327,西牟婁建設部,港湾整備課,平成２３年度　漁港海岸　第１号－２,田辺漁港海岸整備（環境）工事,田辺市扇ヶ浜地先,株式会社中村建設,33711300,29309223,29612100,4,一般競争入札（総合評価）
